ddate,avg_est_watertemp
1993-01-01,24.59
1993-02-01,23.62
1993-03-01,19.46
1993-04-01,17.18
1993-05-01,12.2
1993-06-01,8.35
1993-07-01,10.2
1993-08-01,10.29
1993-09-01,12.11
1993-10-01,14.28
1993-11-01,18.33
1993-12-01,20.7
1994-01-01,23.28
1994-02-01,23.97
1994-03-01,18.42
1994-04-01,15.78
1994-05-01,12.09
1994-06-01,10.12
1994-07-01,7.97
1994-08-01,8.48
1994-09-01,11.4
1994-10-01,15.88
1994-11-01,19.35
1994-12-01,24.22
1995-01-01,22.72
1995-02-01,22.46
1995-03-01,19.23
1995-04-01,13.54
1995-05-01,12.77
1995-06-01,9.47
1995-07-01,7.36
1995-08-01,10.82
1995-09-01,12.2
1995-10-01,16.24
1995-11-01,18.86
1995-12-01,20.5
1996-01-01,23.3
1996-02-01,20.57
1996-03-01,19.71
1996-04-01,14.34
1996-05-01,12.87
1996-06-01,9.86
1996-07-01,8.35
1996-08-01,9.45
1996-09-01,11.48
1996-10-01,15.79
1996-11-01,16.95
1996-12-01,21.4
1997-01-01,23.14
1997-02-01,25.91
1997-03-01,19.93
1997-04-01,16.03
1997-05-01,12.96
1997-06-01,8.55
1997-07-01,7.37
1997-08-01,8.56
1997-09-01,11.99
1997-10-01,15.8
1997-11-01,21.34
1997-12-01,23.7
1998-01-01,24.92
1998-02-01,23.99
1998-03-01,21.85
1998-04-01,16.5
1998-05-01,11.77
1998-06-01,8.73
1998-07-01,7.58
1998-08-01,10.59
1998-09-01,12.94
1998-10-01,14.07
1998-11-01,17.54
1998-12-01,22.46
1999-01-01,26.12
1999-02-01,22.79
1999-03-01,20.35
1999-04-01,14.39
1999-05-01,12.51
1999-06-01,9.23
1999-07-01,8.81
1999-08-01,9.57
1999-09-01,13.49
1999-10-01,16.31
1999-11-01,16.36
1999-12-01,20.66
2000-01-01,21.06
2000-02-01,23.76
2000-03-01,21.64
2000-04-01,16.28
2000-05-01,11.52
2000-06-01,8.41
2000-07-01,7.97
2000-08-01,9.4
2000-09-01,13.04
2000-10-01,15.38
2000-11-01,19.92
2000-12-01,23.09
2001-01-01,25.32
2001-02-01,24.36
2001-03-01,19.91
2001-04-01,16.44
2001-05-01,11.54
2001-06-01,9.37
2001-07-01,8.62
2001-08-01,9.34
2001-09-01,13.46
2001-10-01,14.92
2001-11-01,18.57
2001-12-01,20.36
2002-01-01,22.86
2002-02-01,21.98
2002-03-01,20.7
2002-04-01,18.09
2002-05-01,12.14
2002-06-01,9.21
2002-07-01,8.1
2002-08-01,10.22
2002-09-01,13.52
2002-10-01,16.79
2002-11-01,22.34
2002-12-01,23.47
2003-01-01,25.71
2003-02-01,25.08
2003-03-01,20.09
2003-04-01,16.72
2003-05-01,13.02
2003-06-01,10.27
2003-07-01,9.13
2003-08-01,9.5
2003-09-01,12.45
2003-10-01,14.81
2003-11-01,20.39
2003-12-01,24.22
2004-01-01,25.06
2004-02-01,25.83
2004-03-01,21.19
2004-04-01,17.51
2004-05-01,10.85
2004-06-01,9.29
2004-07-01,7.95
2004-08-01,10.17
2004-09-01,12.59
2004-10-01,16.73
2004-11-01,20.18
2004-12-01,22.81
2005-01-01,25.07
2005-02-01,23.08
2005-03-01,20.49
2005-04-01,19.27
2005-05-01,12.36
2005-06-01,10.24
2005-07-01,9.45
2005-08-01,9.73
2005-09-01,12.43
2005-10-01,16.45
2005-11-01,20.46
2005-12-01,23.05
2006-01-01,27.0
2006-02-01,25.0
2006-03-01,21.73
2006-04-01,14.49
2006-05-01,10.36
2006-06-01,7.56
2006-07-01,8.67
2006-08-01,9.43
2006-09-01,13.59
2006-10-01,17.79
2006-11-01,21.42
2006-12-01,23.68
2007-01-01,24.64
2007-02-01,24.08
2007-03-01,22.6
2007-04-01,17.51
2007-05-01,14.06
2007-06-01,8.26
2007-07-01,7.76
2007-08-01,10.95
2007-09-01,12.75
2007-10-01,17.91
2007-11-01,21.82
2007-12-01,22.87
2008-01-01,25.84
2008-02-01,22.27
2008-03-01,21.59
2008-04-01,15.54
2008-05-01,11.9
2008-06-01,10.76
2008-07-01,8.39
2008-08-01,8.64
2008-09-01,13.51
2008-10-01,18.24
2008-11-01,20.24
2008-12-01,22.22
2009-01-01,26.17
2009-02-01,24.82
2009-03-01,21.39
2009-04-01,16.58
2009-05-01,12.51
2009-06-01,10.16
2009-07-01,8.89
2009-08-01,10.69
2009-09-01,13.47
2009-10-01,16.33
2009-11-01,24.61
2009-12-01,20.94
2010-01-01,26.29
2010-02-01,24.25
2010-03-01,21.24
2010-04-01,17.41
2010-05-01,12.33
2010-06-01,9.56
2010-07-01,8.47
2010-08-01,9.0
2010-09-01,12.33
2010-10-01,16.32
2010-11-01,19.88
2010-12-01,21.17
2011-01-01,25.25
2011-02-01,24.01
2011-03-01,20.4
2011-04-01,15.78
2011-05-01,10.77
2011-06-01,9.28
2011-07-01,8.55
2011-08-01,10.9
2011-09-01,12.93
2011-10-01,16.3
2011-11-01,20.17
2011-12-01,20.56
2012-01-01,22.74
2012-02-01,21.78
2012-03-01,18.68
2012-04-01,16.01
2012-05-01,10.57
2012-06-01,9.37
2012-07-01,8.49
2012-08-01,8.86
2012-09-01,12.19
2012-10-01,16.03
2012-11-01,20.72
2012-12-01,22.4
2013-01-01,24.94
2013-02-01,23.34
2013-03-01,21.03
2013-04-01,16.62
2013-05-01,12.0
2013-06-01,10.24
2013-07-01,9.51
2013-08-01,10.33
2013-09-01,14.05
2013-10-01,15.96
2013-11-01,18.99
2013-12-01,22.4
